"Freq [GHz]","VSWR(1) []"
2.5,35.766573753437
2.52,33.543630417819
2.54,31.4296232854016
2.56,29.4203531624901
2.58,27.5117913656348
2.6,25.7000700993485
2.62,23.98147345182
2.64,22.3524289513051
2.66,20.8094996294898
2.68,19.3493765412501
2.7,17.968871692956
2.72,16.6649113338484
2.74,15.4345295671689
2.76,14.2748622397645
2.78,13.1831410710269
2.8,12.1566879844928
2.82,11.1929096086234
2.84,10.2892919176866
2.86,9.44339499003271
2.88,8.65284787037447
2.9,7.91534353637408
2.92,7.22863398984265
2.94,6.5905255218901
2.96,5.99887424324553
2.98,5.45158203121309
3,4.94659313158773
3.02,4.48189178033095
3.04,4.05550139765527
3.06,3.66548619508571
3.08,3.30995649671886
3.1,2.98707985188007
3.12,2.69510139727235
3.14,2.43237951613617
3.16,2.19744791881426
3.18,1.98912553298807
3.2,1.8067164023233
3.22,1.65038111304989
3.24,1.52181261399017
3.26,1.42527291190406
3.28,1.36816094454854
3.3,1.3579416373
3.32,1.39464147610279
3.34,1.46950097454723
3.36,1.57237152506943
3.38,1.69620986634207
3.4,1.83689867908242
3.42,1.99207287455488
3.44,2.16029984983388
3.46,2.34063241332988
3.48,2.53237690511427
3.5,2.73497249758614
3.52,2.94792743965044
3.54,3.17078507724013
3.56,3.40310585955065
3.58,3.64445812054164
3.6,3.89441374229074
3.62,4.15254653598257
3.64,4.41843210959413
3.66,4.69164851144827
3.68,4.97177723672222
3.7,5.25840435839015
3.72,5.55112164774323
3.74,5.84952761177254
3.76,6.15322841197176
3.78,6.4618386512705
3.8,6.77498202868807
3.82,7.09229186846429
3.84,7.41341153408512
3.86,7.73799473915079
3.88,8.0657057672993
3.9,8.39621961293836
3.92,8.72922205369598
3.94,9.06440966448032
3.96,9.40148978197161
3.98,9.74018042732644
4,10.0802101938979
